N,Iterative,Recursive,Dynamic Programming
0,0.000000,0.000000,0.000000
1,0.000000,0.000000,0.000000
2,0.000000,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.002000
5,0.001000,0.000000,0.000000
6,0.000000,0.000000,0.002000
7,0.000000,0.001000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.002000
11,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.001000
13,0.000000,0.001000,0.000000
14,0.000000,0.001000,0.002000
15,0.000000,0.002000,0.000000
16,0.000000,0.003000,0.002000
17,0.001000,0.005000,0.000000
18,0.000000,0.009000,0.002000
19,0.000000,0.015000,0.000000
20,0.000000,0.026000,0.001000
21,0.000000,0.038000,0.000000
22,0.000000,0.062000,0.002000
23,0.000000,0.100000,0.000000
24,0.000000,0.165000,0.002000
25,0.000000,0.280000,0.000000
26,0.000000,0.427000,0.002000
27,0.000000,0.688000,0.000000
28,0.000000,1.121000,0.003000
29,0.000000,1.729000,0.004000
30,0.000000,2.632000,0.003000
31,0.000000,4.295000,0.000000
32,0.000000,6.567000,0.014000
33,0.000000,9.942000,0.000000
34,0.000000,15.970000,0.000000
35,0.000000,25.930000,0.006000
36,0.000000,37.432000,0.000000
37,0.000000,57.817000,0.001000
38,0.000000,100.683000,0.009000
39,0.000000,157.089000,0.011000
40,0.000000,257.858000,0.003000
41,0.000000,410.925000,0.001000
42,0.000000,678.135000,0.002000
43,0.000000,1105.401000,0.004000
44,0.000000,1807.218000,0.010000
45,0.000000,2889.151000,0.007000
46,0.000000,4685.156000,0.003000
47,0.000000,7564.876000,0.010000
48,0.000000,12270.524000,0.011000
49,0.001000,19911.409000,0.006000
50,0.000000,32356.922000,0.028000
51,0.000000,-,0.000000
52,0.000000,-,0.000000
53,0.000000,-,0.000000
54,0.000000,-,0.000000
55,0.000000,-,0.000000
56,0.000000,-,0.000000
57,0.000000,-,0.000000
58,0.000000,-,0.000000
59,0.000000,-,0.000000
60,0.000000,-,0.001000
61,0.000000,-,0.001000
62,0.000000,-,0.001000
63,0.000000,-,0.001000
64,0.001000,-,0.000000
65,0.000000,-,0.000000
66,0.000000,-,0.000000
67,0.000000,-,0.000000
68,0.000000,-,0.000000
69,0.000000,-,0.000000
70,0.000000,-,0.000000
71,0.000000,-,0.000000
72,0.000000,-,0.000000
73,0.000000,-,0.001000
74,0.000000,-,0.001000
75,0.000000,-,0.001000
76,0.000000,-,0.001000
77,0.000000,-,0.001000
