N,Iterative,Recursive,Dynamic Programming
0,0.001833,0.000500,0.000375
1,0.000459,0.000083,0.000208
2,0.000583,0.001375,0.001458
3,0.000583,0.000833,0.000875
4,0.000458,0.001417,0.000750
5,0.000625,0.001250,0.000541
6,0.000625,0.001750,0.000500
7,0.000500,0.002541,0.000458
8,0.000667,0.004583,0.000750
9,0.000792,0.006458,0.000500
10,0.000625,0.014417,0.000500
11,0.000667,0.006166,0.000542
12,0.000458,0.002000,0.000584
13,0.000708,0.003500,0.000750
14,0.000667,0.005250,0.000667
15,0.001084,0.008375,0.000583
16,0.000708,0.018917,0.000583
17,0.000750,0.020875,0.000833
18,0.000666,0.033958,0.000666
19,0.000750,0.054500,0.008042
20,0.000958,0.087541,0.000708
21,0.000834,0.142375,0.000666
22,0.000958,0.110959,0.000584
23,0.000958,0.163333,0.000583
24,0.000834,0.263583,0.000708
25,0.000791,0.425875,0.000416
26,0.000750,0.690958,0.000625
27,0.000958,0.990750,0.000458
28,0.000708,1.565500,0.000625
29,0.000834,2.543000,0.000458
30,0.000958,3.940500,0.000417
31,0.000709,5.834250,0.000333
32,0.000708,8.744458,0.000250
33,0.000583,12.780959,0.000292
34,0.000667,18.512416,0.000250
35,0.000625,26.827208,0.000167
36,0.000500,39.853208,0.000333
37,0.000583,65.057834,0.000292
38,0.000458,105.914500,0.000500
39,0.000625,171.232625,0.000417
40,0.000625,281.907083,0.000375
41,0.000791,469.881166,0.000416
42,0.000750,746.462916,0.000583
43,0.000708,1194.150291,0.004417
44,0.000792,1933.621750,0.000584
45,0.001709,3208.339792,0.000875
46,0.000625,5122.082250,0.000875
47,0.000625,8408.958709,0.000500
48,0.001000,13643.195625,0.000334
49,0.000834,22283.358333,0.000291
50,0.000792,35947.638084,0.000666
51,0.000875,-,0.000334
52,0.000958,-,0.000208
53,0.000709,-,0.000333
54,0.000834,-,0.000250
55,0.000709,-,0.000167
56,0.000750,-,0.000166
57,0.000709,-,0.000125
58,0.001000,-,0.000250
59,0.000750,-,0.000167
60,0.000750,-,0.000125
61,0.000792,-,0.000167
62,0.000792,-,0.000125
63,0.000791,-,0.000166
64,0.001291,-,0.000166
65,0.000833,-,0.000125
66,0.000834,-,0.000167
67,0.000834,-,0.000083
68,0.001083,-,0.000166
69,0.000875,-,0.000125
70,0.000875,-,0.000167
71,0.000917,-,0.000125
72,0.000916,-,0.000292
73,0.000958,-,0.000167
74,0.000875,-,0.000125
75,0.000916,-,0.000125
76,0.001000,-,0.000125
77,0.000875,-,0.000125
78,0.001750,-,0.000208
79,0.001208,-,0.000084
80,0.001000,-,0.000166
81,0.000917,-,0.000166
82,0.001000,-,0.000166
83,0.000958,-,0.000167
84,0.001333,-,0.000125
85,0.001333,-,0.000167
86,0.001333,-,0.000417
87,0.001042,-,0.000125
88,0.000958,-,0.000125
89,0.000958,-,0.000125
90,0.001125,-,0.000084
91,0.001792,-,0.000209
92,0.001417,-,0.000125
93,0.001417,-,0.000167
94,0.001042,-,0.000167
95,0.001084,-,0.000208
96,0.001083,-,0.000125
97,0.001125,-,0.000125
98,0.001125,-,0.000083
99,0.001084,-,0.000125
100,0.001500,-,0.000208
101,0.001875,-,0.000125
102,0.001625,-,0.000250
103,0.001250,-,0.000208
104,0.001542,-,0.000167
105,0.001584,-,0.000167
106,0.001625,-,0.000208
107,0.001209,-,0.000083
108,0.001208,-,0.000125
109,0.001250,-,0.000125
110,0.001250,-,0.000125
111,0.001500,-,0.000125
112,0.001250,-,0.000125
113,0.001375,-,0.000166
114,0.001709,-,0.000167
115,0.001709,-,0.000125
116,0.001375,-,0.000292
117,0.001292,-,0.000125
118,0.001292,-,0.000125
119,0.001750,-,0.000167
120,0.002209,-,0.000167
121,0.001834,-,0.000167
122,0.001333,-,0.000083
123,0.001333,-,0.000125
124,0.001875,-,0.000250
125,0.001875,-,0.000166
126,0.001542,-,0.000167
127,0.001792,-,0.000209
128,0.001791,-,0.000167
129,0.001584,-,0.000375
130,0.001583,-,0.000125
131,0.001584,-,0.000125
132,0.001584,-,0.000166
133,0.001625,-,0.000125
134,0.001625,-,0.000125
135,0.001625,-,0.000125
136,0.001917,-,0.000125
137,0.001667,-,0.000125
138,0.001666,-,0.000125
139,0.001709,-,0.000125
140,0.001708,-,0.000125
141,0.001708,-,0.000167
142,0.001708,-,0.000167
143,0.002042,-,0.000125
144,0.001708,-,0.000125
145,0.001791,-,0.000250
146,0.001625,-,0.000208
147,0.002042,-,0.000250
148,0.002292,-,0.000167
149,0.002208,-,0.000167
150,0.004417,-,0.001625
151,0.002417,-,0.000166
152,0.002250,-,0.000209
153,0.000542,-,0.000208
154,0.000417,-,0.000167
155,0.000417,-,0.000125
156,0.000333,-,0.000125
157,0.000334,-,0.000208
158,0.000333,-,0.000125
159,0.000333,-,0.000166
160,0.000333,-,0.000167
161,0.000333,-,0.000166
162,0.000333,-,0.000125
163,0.000333,-,0.000292
164,0.000333,-,0.000166
165,0.000292,-,0.000125
166,0.000416,-,0.000250
167,0.000417,-,0.000209
168,0.000416,-,0.000167
169,0.000291,-,0.000125
170,0.000291,-,0.000125
171,0.000291,-,0.004708
172,0.000417,-,0.000375
173,0.000417,-,0.000292
174,0.000417,-,0.000208
175,0.000500,-,0.000125
176,0.000417,-,0.000167
177,0.000417,-,0.000167
178,0.000417,-,0.000167
179,0.000417,-,0.000250
180,0.000459,-,0.000250
181,0.000458,-,0.000167
182,0.000458,-,0.000167
183,0.000333,-,0.000125
184,0.000333,-,0.000125
185,0.000333,-,0.000167
186,0.000333,-,0.000167
187,0.000375,-,0.000125
188,0.000333,-,0.000125
189,0.000375,-,0.000208
190,0.000500,-,0.000208
191,0.000459,-,0.000083
192,0.000416,-,0.000166
193,0.000375,-,0.000125
194,0.000417,-,0.000125
195,0.000375,-,0.000125
196,0.000375,-,0.000167
197,0.000417,-,0.000292
198,0.000750,-,0.000125
199,0.000417,-,0.000125
200,0.000375,-,0.000125
201,0.000375,-,0.000125
202,0.000416,-,0.000125
203,0.000500,-,0.000166
204,0.000417,-,0.000166
205,0.000417,-,0.000209
206,0.000500,-,0.000125
207,0.000458,-,0.000208
208,0.000416,-,0.000167
209,0.000417,-,0.000125
210,0.000459,-,0.000125
211,0.000458,-,0.000166
212,0.000417,-,0.000167
213,0.000416,-,0.000167
214,0.000417,-,0.000500
215,0.000458,-,0.002709
216,0.000458,-,0.000125
217,0.000416,-,0.000042
218,0.000416,-,0.000083
219,0.000458,-,0.000042
220,0.000416,-,0.000042
221,0.000458,-,0.000041
222,0.000458,-,0.000041
223,0.000458,-,0.000041
224,0.000416,-,0.000042
225,0.000458,-,0.000041
226,0.000458,-,0.000042
227,0.000458,-,0.000041
228,0.000458,-,0.000042
229,0.000459,-,0.000042
230,0.000500,-,0.000125
231,0.000417,-,0.000000
232,0.000500,-,0.000042
233,0.000500,-,0.000041
234,0.000459,-,0.000042
235,0.000625,-,0.000000
236,0.000458,-,0.000000
237,0.000458,-,0.000000
238,0.000500,-,0.000042
239,0.000458,-,0.000042
240,0.000458,-,0.000042
241,0.000500,-,0.000000
242,0.000500,-,0.000000
243,0.000458,-,0.000000
244,0.000500,-,0.000041
245,0.000458,-,0.000000
246,0.000500,-,0.000042
247,0.000500,-,0.000042
248,0.000458,-,0.000042
249,0.000500,-,0.000042
250,0.000500,-,0.000041
251,0.000500,-,0.000042
252,0.000500,-,0.000042
253,0.000500,-,0.000042
254,0.000500,-,0.000041
255,0.000500,-,0.000000
256,0.000500,-,0.000042
257,0.000500,-,0.000041
