N,Iterative,Recursive,Dynamic Programming
3,0.003417,0.001834,0.001834
4,0.000666,0.000792,0.000833
5,0.000750,0.000959,0.000917
6,0.000584,0.001250,0.000625
7,0.000500,0.001792,0.000375
8,0.000541,0.002125,0.000584
9,0.000542,0.003417,0.000583
10,0.002791,0.008000,0.000542
11,0.000750,0.006166,0.000750
12,0.000875,0.001792,0.000583
13,0.000542,0.001667,0.000458
14,0.000625,0.003042,0.000625
15,0.000375,0.005125,0.000875
16,0.001000,0.009000,0.000667
17,0.000750,0.029292,0.000667
18,0.000833,0.022542,0.000583
19,0.000875,0.036250,0.000541
20,0.000833,0.058625,0.000792
21,0.001083,0.093958,0.000625
22,0.000833,0.079792,0.000584
23,0.000875,0.125250,0.000625
24,0.000959,0.169000,0.000666
25,0.001000,0.274292,0.000500
26,0.000875,0.442833,0.000500
27,0.000875,0.717709,0.000542
28,0.000875,1.163916,0.000667
29,0.001125,1.460084,0.000792
30,0.001125,2.467083,0.000500
31,0.000958,3.619041,0.000333
32,0.000750,5.923583,0.000667
33,0.000959,9.190208,0.000541
34,0.000792,13.437500,0.000500
35,0.000959,19.566500,0.000375
36,0.000542,28.640667,0.000375
37,0.000667,44.554834,0.000333
38,0.000584,72.109625,0.000416
39,0.000792,117.975084,0.000667
40,0.000750,187.756083,0.000417
41,0.000666,306.011625,0.000875
42,0.000667,489.685084,0.000541
43,0.000750,796.272834,0.000417
44,0.000750,1282.746959,0.000334
45,0.001000,2106.848625,0.000667
46,0.000792,3427.805417,0.000584
47,0.001000,5501.087167,0.000625
48,0.000833,8855.022500,0.000750
49,0.001041,14321.095084,0.000458
50,0.000792,23269.848291,0.000500
51,0.000875,-,0.000292
52,0.000666,-,0.000208
53,0.000834,-,0.000208
54,0.000959,-,0.000292
55,0.000625,-,0.000208
56,0.000709,-,0.000125
57,0.000583,-,0.000125
58,0.000625,-,0.000166
59,0.000667,-,0.000125
60,0.000666,-,0.000166
61,0.001042,-,0.000250
62,0.000708,-,0.000209
63,0.000875,-,0.000166
64,0.001458,-,0.000125
65,0.000709,-,0.000166
66,0.000667,-,0.000125
67,0.000750,-,0.000125
